Lat,Lon,NAME,LENGTH_M
-3.092889159,-152.585047,SHANGRILA,44173.6547
-3.218136754,-151.852727,SHANGRILA,85179.11706
-3.47615652,-150.5600218,SHANGRILA,39185.52949
-3.526233557,-151.078854,SHANGRILA,92505.01036
-3.637311916,-149.9045768,SHANGRILA,34666.07826
-3.274226773,-152.2476071,SHANGRILA,66647.7501
-3.421631541,-151.8142605,SHANGRILA,32392.27714
-3.889838676,-149.4968654,SHANGRILA,267401.8922
-3.697890545,-151.1636725,SHANGRILA,90669.80403
-3.828866749,-150.7350928,SHANGRILA,35731.16129
-3.958255645,-150.1968078,SHANGRILA,22911.48449
-4.097088685,-149.172876,SHANGRILA,152501.8233
-3.597743089,-150.7760283,SHANGRILA,47844.48751
-3.651164979,-150.6065742,SHANGRILA,34116.04972
-4.062500733,-150.2422451,SHANGRILA,29379.84172
-4.260631578,-149.1982141,SHANGRILA,106687.2202
-3.074260311,-152.1293205,SHANGRILA,34222.39307
-3.189615731,-151.3573368,SHANGRILA,78427.80829
-3.353121158,-151.0044658,SHANGRILA,30581.84856
-3.625447622,-149.7400382,SHANGRILA,117394.3184
-4.118223522,-148.0620733,SHANGRILA,144728.8793
-4.192142805,-148.0286576,SHANGRILA,136294.5687
-4.108376778,-148.4040012,SHANGRILA,65023.8798
-3.985278883,-149.4417171,SHANGRILA,26005.83442
-4.393350148,-147.8764126,SHANGRILA,116354.9749
-2.998248792,-151.9878763,SHANGRILA,24226.10873
-2.942137255,-151.8967397,SHANGRILA,21464.09317
-3.29454478,-150.6282882,SHANGRILA,29916.81258
-4.0316429,-150.047307,SHANGRILA,81700.25368
-4.424243755,-148.389116,SHANGRILA,118770.9818
-4.301311752,-151.4586962,SHANGRILA,38241.01453
-4.471011823,-150.6627387,SHANGRILA,84619.86172
-4.436882348,-151.3654159,SHANGRILA,30966.11677
-4.429503135,-151.7031239,SHANGRILA,19319.69105
-3.185769102,-150.9858687,SHANGRILA,50349.43896
-3.642145906,-148.8215934,SHANGRILA,162466.1041
-3.659653397,-148.9606893,SHANGRILA,122939.6265
-3.870510455,-148.5172317,SHANGRILA,126200.6502
-3.109164238,-151.040681,SHANGRILA,91641.76314
-3.414979116,-149.597531,SHANGRILA,74038.30414
-3.285089595,-150.03039,SHANGRILA,16858.41655
-3.699238192,-148.4685819,SHANGRILA,129073.2668
-2.993650694,-151.2961411,SHANGRILA,51858.40597
-3.137757799,-150.277568,SHANGRILA,122113.434
-3.197228973,-149.8426985,SHANGRILA,158848.4012
-3.995738786,-147.7278496,SHANGRILA,43576.98153
-2.964439496,-150.4092735,SHANGRILA,98507.50602
-3.123671088,-149.980061,SHANGRILA,29258.41112
-2.886263778,-150.6360182,SHANGRILA,63969.21048
-2.912491495,-150.1867579,SHANGRILA,97272.83108
-3.684006868,-148.200054,SHANGRILA,113208.3413
-2.848427774,-149.9746995,SHANGRILA,166360.6042
-2.932440843,-149.9814987,SHANGRILA,189941.1426
-3.115496252,-149.2461965,SHANGRILA,78748.57794
-3.612183947,-148.1651997,SHANGRILA,103881.3631
-3.96982956,-147.6024697,SHANGRILA,61014.28908
-4.100451819,-147.2675983,SHANGRILA,31703.09117
-2.163937967,-151.9562195,SHANGRILA,38178.38045
-2.634523696,-151.1706077,SHANGRILA,60156.87856
-1.04142868,-155.8856435,SHANGRILA,12419.75303
-1.158869565,-155.8935533,SHANGRILA,11577.79048
-1.201554744,-155.9550305,SHANGRILA,12138.9209
-0.987093271,-155.8237615,SHANGRILA,9623.551077
-0.90860879,-155.7965938,SHANGRILA,8301.048656
-0.81050319,-155.7784819,SHANGRILA,7535.162519
-0.758564931,-155.6099712,SHANGRILA,18048.06236
-0.72061708,-155.4951106,SHANGRILA,26440.52143
-0.812079235,-155.0652457,SHANGRILA,29550.20751
-0.751170081,-155.0938508,SHANGRILA,59641.79896
-0.57868177,-155.4193176,SHANGRILA,36876.91404
-0.482394007,-155.4505604,SHANGRILA,36206.82921
-0.386854018,-155.4753345,SHANGRILA,34760.93057
-1.346914426,-153.39195,SHANGRILA,105489.9766
-1.427206989,-153.3169953,SHANGRILA,58919.44492
-0.76662558,-154.4514031,SHANGRILA,47891.85354
-1.030696646,-153.5749467,SHANGRILA,34569.74723
-1.168885601,-153.3433717,SHANGRILA,9392.909113
-0.974159824,-154.0253298,SHANGRILA,79393.46904
-0.774672894,-154.6374348,SHANGRILA,17456.0648
-0.961690276,-154.2303186,SHANGRILA,31858.49402
-1.156440273,-153.6844742,SHANGRILA,24374.10672
-1.322832724,-153.1819686,SHANGRILA,27113.20825
-1.504311326,-152.8391723,SHANGRILA,28995.38037
-1.681031914,-152.6479172,SHANGRILA,10408.65905
-1.754396791,-152.4775213,SHANGRILA,13597.03638
-1.754234388,-152.4152305,SHANGRILA,8818.283495
-1.836576549,-152.152742,SHANGRILA,23311.85372
-0.644375629,-154.6378537,SHANGRILA,32329.92752
-0.819458608,-154.1172409,SHANGRILA,20412.1608
-0.732970278,-154.286057,SHANGRILA,53457.30496
-1.357620853,-152.8886525,SHANGRILA,109443.0576
-2.389696291,-151.3229129,SHANGRILA,51264.7587
-2.472206318,-150.9796267,SHANGRILA,88042.83193
-2.884900369,-149.6390284,SHANGRILA,136899.5558
-2.814740727,-149.6646579,SHANGRILA,75790.16102
-2.281086727,-151.2319554,SHANGRILA,59870.2307
-2.269499277,-151.3603235,SHANGRILA,26680.41593
-1.789829496,-151.9984501,SHANGRILA,18901.71874
-2.246752289,-151.1606514,SHANGRILA,65013.11831
-2.36461499,-150.9808307,SHANGRILA,20766.54029
-2.147446484,-151.2826098,SHANGRILA,63900.64493
-0.991301833,-153.3082791,SHANGRILA,22536.5897
-1.820893294,-151.7308622,SHANGRILA,103821.6306
-2.473651748,-150.2334952,SHANGRILA,79938.19863
-2.657246792,-150.0529682,SHANGRILA,14051.88384
-2.575498865,-150.1333746,SHANGRILA,46007.06294
-2.805502241,-149.0281992,SHANGRILA,99824.20364
-2.999409358,-148.8768058,SHANGRILA,85959.59677
-3.101018517,-148.4971765,SHANGRILA,53046.55864
-0.292539852,-155.5135953,SHANGRILA,31786.09121
-0.256295515,-155.4325363,SHANGRILA,23755.01634
-0.201373887,-155.5034102,SHANGRILA,15279.87635
-0.192638012,-155.3273232,SHANGRILA,11782.22638
-1.272904802,-152.5098203,SHANGRILA,179260.3019
-1.8097764,-151.4484131,SHANGRILA,307771.267
-2.435325221,-149.1919884,SHANGRILA,155581.8885
-2.655031078,-148.5135299,SHANGRILA,23649.80479
-2.838619978,-147.9949576,SHANGRILA,30732.98808
-1.906939231,-151.3694752,SHANGRILA,90759.09697
-1.939709098,-151.3838863,SHANGRILA,14221.89395
-2.049527002,-150.9950487,SHANGRILA,18226.84101
-2.387750309,-149.9751027,SHANGRILA,64941.9067
-2.671640213,-148.7651943,SHANGRILA,124982.1035
-2.442111471,-149.9926542,SHANGRILA,77037.1206
-2.315100792,-150.6012625,SHANGRILA,8683.533288
-2.437614656,-150.167373,SHANGRILA,25443.67901
-2.62146203,-149.5539748,SHANGRILA,27542.17134
-2.804810125,-148.778129,SHANGRILA,64174.70867
-3.093857351,-148.2519961,SHANGRILA,22676.43784
-3.208474906,-147.8837768,SHANGRILA,23882.76009
-2.855288045,-148.4792844,SHANGRILA,76000.17031
-2.992962768,-147.8820187,SHANGRILA,49040.90094
-3.222417921,-147.6472358,SHANGRILA,23608.37513
-0.633558474,-154.1325415,SHANGRILA,36753.86584
-0.164437879,-154.9299939,SHANGRILA,70410.46538
-0.255931964,-154.9500524,SHANGRILA,8946.379681
-0.524131906,-154.3121402,SHANGRILA,30179.42573
-0.53572234,-154.1499625,SHANGRILA,47478.273
-1.04189936,-152.622719,SHANGRILA,108056.8921
-1.393220365,-152.0805927,SHANGRILA,48858.38077
-1.416574897,-151.9595585,SHANGRILA,24153.19236
-1.912345733,-151.0332543,SHANGRILA,37130.66774
-1.846270539,-151.2896607,SHANGRILA,9952.088864
-1.002546332,-152.5631422,SHANGRILA,115923.7455
-0.442329027,-154.2783523,SHANGRILA,14521.43028
-0.554777482,-153.9043124,SHANGRILA,29114.52592
-0.334734474,-154.2868868,SHANGRILA,112048.8964
-0.056254554,-154.8395886,SHANGRILA,124878.2349
-0.613606784,-153.4214336,SHANGRILA,25170.45395
-1.047967969,-152.3561814,SHANGRILA,120626.0418
-1.632484243,-151.292415,SHANGRILA,18551.46836
-1.91829864,-150.8930352,SHANGRILA,58798.01128
-1.915833693,-150.7133471,SHANGRILA,31894.24756
-1.82727389,-150.7462059,SHANGRILA,34879.17466
-1.81273041,-150.6943831,SHANGRILA,9918.226749
-2.235121989,-149.5376248,SHANGRILA,104335.9474
-2.505705198,-148.6614515,SHANGRILA,101989.952
-2.788642337,-147.8787023,SHANGRILA,29477.77157
0.138737939,-156.2368778,SHANGRILA,16064.23618
0.130789135,-155.6204896,SHANGRILA,82364.79802
-0.156886816,-154.3571967,SHANGRILA,43909.98516
-0.378755084,-153.7165653,SHANGRILA,21840.79993
-0.066629336,-154.4240529,SHANGRILA,26109.33801
0.193404158,-155.4269964,SHANGRILA,60094.07822
0.239885319,-156.2816955,SHANGRILA,28610.50466
0.342355041,-155.5378979,SHANGRILA,83290.54316
0.140231235,-154.8358899,SHANGRILA,37086.65355
