NAME,LAT,LONG,LAMBDA_M,RHO,RHO_0,DELTA_RHO
SHANGRILA,-30.2010021,189.4098453,2539.905757,1.65E-05,2.16E-06,7.632568561
SHANGRILA,-30.2010021,189.966115,2029.41637,5.70E-06,3.56E-06,1.589040498
SHANGRILA,-27.4196529,181.0657998,3123.822891,2.38E-05,1.36E-06,17.53463737
SHANGRILA,-27.4196529,181.6220695,2635.593594,3.71E-05,1.98E-06,18.70807043
SHANGRILA,-27.4196529,182.1783392,2419.85691,3.12E-05,2.40E-06,12.97964286
SHANGRILA,-27.4196529,182.7346089,2667.438457,2.57E-05,1.93E-06,13.29757085
SHANGRILA,-26.8633823,181.0657998,2229.838101,2.06E-05,2.89E-06,7.130819582
SHANGRILA,-26.8633823,181.6220695,2919.562052,2.21E-05,1.58E-06,13.98775219
SHANGRILA,-26.8633823,182.1783392,2573.564924,3.52E-05,2.09E-06,16.81197788
SHANGRILA,-26.8633823,182.7346089,3798.923743,4.03E-05,8.76E-07,45.98363019
SHANGRILA,-26.3071136,179.3969907,4367.212942,3.10E-05,6.41E-07,48.37400114
SHANGRILA,-26.3071136,179.9532604,3280.444266,3.20E-06,1.22E-06,2.60252436
SHANGRILA,-26.3071136,180.5095301,2850.859297,3.36E-05,1.67E-06,20.18929133
SHANGRILA,-26.3071136,181.0657998,2841.626133,2.03E-05,1.68E-06,12.12333969
SHANGRILA,-26.3071136,181.6220695,3106.563872,3.98E-05,1.37E-06,28.96096273
SHANGRILA,-26.3071136,182.1783392,3667.848887,4.50E-05,9.48E-07,47.52872328
SHANGRILA,-25.750843,179.3969907,4184.046852,2.68E-05,7.06E-07,37.94287026
SHANGRILA,-25.750843,179.9532604,2626.86242,4.20E-06,2.00E-06,2.101743551
SHANGRILA,-25.750843,180.5095301,3267.780322,1.40E-05,1.23E-06,11.44694712
SHANGRILA,-25.750843,181.0657998,4009.093528,1.21E-05,7.77E-07,15.53847097
SHANGRILA,-25.750843,181.6220695,2748.519184,7.69E-05,1.81E-06,42.55267794
SHANGRILA,-25.750843,182.1783392,1890.115874,4.63E-05,4.18E-06,11.08049536
SHANGRILA,-25.1945744,179.9532604,2941.533773,1.41E-05,1.55E-06,9.094534231
SHANGRILA,-25.1945744,180.5095301,2691.078376,1.43E-05,1.89E-06,7.534873487
SHANGRILA,-25.1945744,181.0657998,2220.011371,7.90E-06,2.91E-06,2.694158501
SHANGRILA,-25.1945744,181.6220695,3044.23243,5.40E-06,1.44E-06,3.743928863
SHANGRILA,-25.1945744,182.1783392,3439.482381,1.83E-05,1.09E-06,16.73885065
SENKYO,-24.6383038,44.7797223,3901.64738,3.40E-06,8.25E-07,4.161452331
SHANGRILA,-24.6383038,180.5095301,3806.640946,2.11E-05,8.72E-07,24.17476227
SHANGRILA,-24.6383038,181.0657998,2707.561276,1.75E-05,1.87E-06,9.349014177
SENKYO,-24.0820351,45.335992,28159.94696,5.12E-05,9.91E-09,5169.286583
SENKYO,-20.1881466,20.30385532,7475.188615,4.19E-05,1.93E-07,217.3057351
SENKYO,-20.1881466,20.86012503,3493.409397,2.24E-05,1.06E-06,21.1583408
BELET,-20.1881466,101.5192321,4550.239351,2.18E-05,5.85E-07,37.33864266
SHANGRILA,-20.1881466,194.9725424,2596.754578,3.44E-05,2.05E-06,16.7468643
SHANGRILA,-20.1881466,195.5288121,3246.357271,2.23E-05,1.25E-06,17.88384533
SHANGRILA,-20.1881466,196.0850818,2606.302719,1.25E-05,2.04E-06,6.146857391
SHANGRILA,-20.1881466,196.6413515,2286.839846,6.70E-06,2.73E-06,2.454708667
FENSAL,-20.1881466,313.4579893,5170.203395,2.07E-05,4.40E-07,47.05138082
FENSAL,-20.1881466,314.014259,9106.757813,7.30E-06,1.24E-07,58.82496387
FENSAL,-20.1881466,314.5705287,8985.663151,2.16E-05,1.28E-07,168.9900769
FENSAL,-20.1881466,315.1267984,7738.194928,3.71E-05,1.78E-07,208.3260381
FENSAL,-20.1881466,315.6830682,5960.795882,1.91E-05,3.20E-07,59.66627203
SENKYO,-19.631876,16.9662371,4886.341045,1.56E-05,4.99E-07,31.35208035
SENKYO,-19.631876,19.74758562,3923.023253,3.10E-06,8.15E-07,3.850073404
SENKYO,-19.631876,20.86012503,7433.468871,1.19E-05,1.95E-07,60.97249628
BELET,-19.631876,101.5192321,6248.577951,3.00E-05,2.88E-07,104.2591705
BELET,-19.631876,102.0755018,6871.806574,3.30E-05,2.33E-07,141.8370711
BELET,-19.631876,102.6317715,9756.927084,5.46E-05,1.06E-07,514.7785962
BELET,-19.631876,103.1880412,6859.388552,2.74E-05,2.33E-07,117.5074508
BELET,-19.631876,103.7443109,5466.441308,3.50E-05,3.88E-07,90.16340631
BELET,-19.631876,104.3005806,3599.599221,2.88E-05,9.88E-07,29.14031325
SHANGRILA,-19.631876,156.0336631,4284.100374,4.61E-05,6.69E-07,68.93094552
SHANGRILA,-19.631876,156.5899328,7371.712955,3.89E-05,1.99E-07,195.5157954
SHANGRILA,-19.631876,157.1462025,7950.868056,6.91E-05,1.68E-07,411.7235081
SHANGRILA,-19.631876,157.7024722,7550.054959,2.96E-05,1.88E-07,157.2575284
SHANGRILA,-19.631876,188.2973059,4342.755982,1.36E-05,6.49E-07,20.86946128
SHANGRILA,-19.631876,194.9725424,2832.098605,1.45E-05,1.69E-06,8.59872989
SHANGRILA,-19.631876,195.5288121,3618.360686,1.45E-05,9.77E-07,14.81745278
SHANGRILA,-19.631876,196.0850818,4292.22136,3.09E-05,6.67E-07,46.36307592
FENSAL,-19.631876,317.908147,3337.114201,8.00E-06,1.17E-06,6.841581258
FENSAL,-19.631876,318.4644167,4177.973748,6.70E-06,7.08E-07,9.441214511
SENKYO,-19.0756073,19.74758562,3576.588818,2.90E-06,1.00E-06,2.854153527
SENKYO,-19.0756073,20.30385532,4099.52768,9.80E-06,7.39E-07,13.31890152
BELET,-19.0756073,99.29415329,13894.76567,6.06E-05,4.81E-08,1258.675829
BELET,-19.0756073,99.850423,5666.954066,5.50E-06,3.58E-07,15.31429959
BELET,-19.0756073,100.4066927,6074.319222,1.40E-05,3.06E-07,45.63532399
BELET,-19.0756073,100.9629624,8912.783087,3.33E-05,1.30E-07,255.9971429
BELET,-19.0756073,101.5192321,7295.804042,2.33E-05,2.03E-07,114.7838387
BELET,-19.0756073,102.0755018,4169.75025,3.00E-05,7.11E-07,42.21532895
BELET,-19.0756073,102.6317715,4333.18299,2.08E-05,6.53E-07,31.87391453
BELET,-19.0756073,103.1880412,4944.388045,4.35E-05,4.86E-07,89.578435
BELET,-19.0756073,103.7443109,6105.709331,4.40E-05,3.03E-07,145.105747
BELET,-19.0756073,104.3005806,13768.03754,8.13E-05,4.91E-08,1654.700839
SHANGRILA,-19.0756073,155.4773934,3566.639627,3.77E-05,1.01E-06,37.33335368
SHANGRILA,-19.0756073,156.0336631,9272.109839,5.03E-05,1.19E-07,422.7636352
SHANGRILA,-19.0756073,156.5899328,5425.919859,3.29E-05,3.95E-07,83.40835095
SHANGRILA,-19.0756073,157.1462025,3904.932681,4.23E-05,8.24E-07,51.35188595
SHANGRILA,-19.0756073,194.9725424,2659.727395,9.70E-06,1.94E-06,4.965158841
SHANGRILA,-19.0756073,195.5288121,3720.881814,1.49E-05,9.18E-07,16.22024547
SHANGRILA,-19.0756073,196.0850818,3557.980025,1.99E-05,1.01E-06,19.64449125
FENSAL,-19.0756073,317.908147,4123.355912,6.60E-06,7.29E-07,9.04744479
FENSAL,-19.0756073,318.4644167,5501.684196,1.32E-05,3.82E-07,34.52211184
FENSAL,-19.0756073,319.0206864,5363.215484,2.57E-05,4.05E-07,63.57507743
SENKYO,-18.5193367,19.74758562,4022.846615,1.61E-05,7.71E-07,20.88182808
BELET,-18.5193367,100.4066927,1381.249648,0.0002414,8.43E-06,28.64830946
BELET,-18.5193367,100.9629624,8918.39397,9.30E-06,1.30E-07,71.47543425
BELET,-18.5193367,101.5192321,7945.087195,3.18E-05,1.68E-07,189.086645
BELET,-18.5193367,102.0755018,2862.458193,3.91E-05,1.65E-06,23.69852161
BELET,-18.5193367,102.6317715,3685.018825,2.23E-05,9.38E-07,23.80784436
BELET,-18.5193367,103.1880412,4001.326494,1.92E-05,7.80E-07,24.62680485
BELET,-18.5193367,103.7443109,2588.57245,3.52E-05,2.07E-06,17.03543145
BELET,-18.5193367,104.3005806,6082.678652,9.22E-05,3.06E-07,301.6103089
SHANGRILA,-18.5193367,155.4773934,3937.854151,3.82E-05,8.08E-07,47.26490762
SHANGRILA,-18.5193367,156.0336631,4851.539345,5.81E-05,5.07E-07,114.6675094
SHANGRILA,-18.5193367,156.5899328,4357.29341,3.65E-05,6.44E-07,56.65695517
SHANGRILA,-18.5193367,157.1462025,6108.313292,6.38E-05,3.03E-07,210.7063701
SHANGRILA,-18.5193367,157.7024722,3377.450736,2.20E-05,1.14E-06,19.26145673
SHANGRILA,-18.5193367,187.7410362,3988.497402,1.86E-05,7.86E-07,23.65547247
SHANGRILA,-18.5193367,188.2973059,7415.876409,1.60E-05,1.96E-07,81.44483577
SHANGRILA,-18.5193367,195.5288121,5579.154122,2.63E-05,3.71E-07,71.00489891
SHANGRILA,-18.5193367,196.0850818,5498.324394,2.66E-05,3.83E-07,69.47489162
FENSAL,-18.5193367,318.4644167,4608.355836,1.84E-05,5.69E-07,32.42064239
FENSAL,-18.5193367,319.0206864,5436.820043,8.70E-06,3.93E-07,22.14780554
FENSAL,-18.5193367,319.5769561,5396.923905,4.30E-06,3.99E-07,10.8129709
FENSAL,-18.5193367,320.1332258,5287.9128,2.12E-05,4.18E-07,50.60859385
SENKYO,-17.963068,19.74758562,4381.304804,2.45E-05,6.37E-07,38.53990873
BELET,-17.963068,92.06264714,2236.641077,9.90E-06,2.87E-06,3.444394677
BELET,-17.963068,93.17518655,5011.493243,1.07E-05,4.71E-07,22.68489522
BELET,-17.963068,100.4066927,3564.93585,2.91E-05,1.01E-06,28.82424385
BELET,-17.963068,102.6317715,3411.535878,7.07E-05,1.11E-06,63.49385003
BELET,-17.963068,103.1880412,2949.413912,1.42E-05,1.54E-06,9.173647482
BELET,-17.963068,103.7443109,3114.347522,2.99E-05,1.37E-06,21.88157298
BELET,-17.963068,104.3005806,2516.071238,1.61E-05,2.20E-06,7.312264667
SHANGRILA,-17.963068,155.4773934,2952.603433,2.13E-05,1.54E-06,13.80870678
SHANGRILA,-17.963068,156.0336631,2561.966465,1.84E-05,2.11E-06,8.722087325
SHANGRILA,-17.963068,156.5899328,2684.549774,1.99E-05,1.90E-06,10.46373541
SHANGRILA,-17.963068,157.1462025,2840.525302,5.15E-05,1.68E-06,30.70548254
SHANGRILA,-17.963068,171.6092148,4744.89389,6.56E-05,5.33E-07,123.1983082
SHANGRILA,-17.963068,172.1654845,9405.369077,4.62E-05,1.15E-07,400.9832939
SHANGRILA,-17.963068,187.1847665,5376.90967,1.41E-05,4.03E-07,35.06381105
SHANGRILA,-17.963068,188.2973059,11139.20725,3.99E-05,7.89E-08,505.2075592
SHANGRILA,-17.963068,195.5288121,2090.560127,5.81E-05,3.33E-06,17.42302956
SHANGRILA,-17.963068,196.0850818,1647.89907,0.0001156,5.68E-06,20.36280055
FENSAL,-17.963068,314.014259,4402.587002,2.47E-05,6.30E-07,39.14929371
FENSAL,-17.963068,319.0206864,20733.29167,3.59E-05,1.97E-08,1826.014318
FENSAL,-17.963068,319.5769561,8694.210466,2.09E-05,1.37E-07,151.8798922
FENSAL,-17.963068,320.1332258,5652.516207,9.00E-06,3.60E-07,25.12084782
FENSAL,-17.963068,320.6894955,4169.163955,1.33E-05,7.11E-07,18.75382937
SENKYO,-17.4067974,17.5225068,10072.01036,3.67E-05,9.89E-08,371.7048129
SENKYO,-17.4067974,18.07877651,22805.1196,3.65E-05,1.59E-08,2297.635641
SENKYO,-17.4067974,18.63504621,11343.14283,2.72E-05,7.58E-08,359.2874473
SENKYO,-17.4067974,19.19131591,4032.644936,1.83E-05,7.66E-07,23.85706133
SENKYO,-17.4067974,19.74758562,2972.77663,2.46E-05,1.52E-06,16.23189853
SENKYO,-17.4067974,68.69931957,9902.587486,2.38E-05,1.03E-07,231.4616427
SENKYO,-17.4067974,69.25558927,7640.955436,1.22E-05,1.83E-07,66.65641783
BELET,-17.4067974,89.83756832,1642.048673,1.60E-05,5.72E-06,2.790856887
BELET,-17.4067974,96.51280477,6822.678176,2.93E-05,2.36E-07,123.9800819
SHANGRILA,-17.4067974,155.4773934,2801.892845,3.45E-05,1.73E-06,19.90832428
SHANGRILA,-17.4067974,156.0336631,3019.296588,4.11E-05,1.46E-06,28.03917829
SHANGRILA,-17.4067974,170.4966754,7245.835528,3.48E-05,2.07E-07,168.3871932
SHANGRILA,-17.4067974,171.0529451,4979.281761,2.73E-05,4.78E-07,57.14869076
SHANGRILA,-17.4067974,171.6092148,9245.962601,4.42E-05,1.20E-07,369.4978121
SHANGRILA,-17.4067974,172.1654845,8213.573979,4.85E-05,1.56E-07,310.5793867
SHANGRILA,-17.4067974,172.7217542,8560.490998,4.87E-05,1.42E-07,342.4620215
SHANGRILA,-17.4067974,173.2780239,5892.300814,1.89E-05,3.28E-07,57.47497381
SHANGRILA,-17.4067974,173.8342936,3794.752832,1.36E-05,8.78E-07,15.53185752
SHANGRILA,-17.4067974,174.3905633,4362.469893,7.00E-06,6.43E-07,10.85888341
SHANGRILA,-17.4067974,187.1847665,3914.607596,9.20E-06,8.19E-07,11.27412037
SHANGRILA,-17.4067974,187.7410362,4608.278388,3.70E-06,5.69E-07,6.483775407
SHANGRILA,-17.4067974,188.2973059,4355.396659,7.00E-06,6.45E-07,10.80198651
SHANGRILA,-17.4067974,196.0850818,5208.657957,5.45E-05,4.32E-07,126.1355718
FENSAL,-17.4067974,314.014259,14330.21146,3.44E-05,4.49E-08,765.7912932
FENSAL,-17.4067974,318.4644167,4508.445798,2.76E-05,5.97E-07,46.19463253
FENSAL,-17.4067974,319.5769561,6443.891478,1.03E-05,2.69E-07,38.39447753
FENSAL,-17.4067974,320.1332258,7883.879988,3.78E-05,1.71E-07,221.2933722
FENSAL,-17.4067974,320.6894955,9172.278579,3.67E-05,1.22E-07,301.0311671
SENKYO,-16.8505287,18.63504621,8125.917895,1.30E-05,1.60E-07,81.35109288
SENKYO,-16.8505287,67.58678016,8157.610883,1.31E-05,1.58E-07,82.38280394
SENKYO,-16.8505287,68.14304987,6983.553518,1.12E-05,2.24E-07,49.81371666
SENKYO,-16.8505287,68.69931957,5646.02969,9.00E-06,3.61E-07,25.02763716
SENKYO,-16.8505287,69.25558927,6889.675253,1.10E-05,2.31E-07,47.67820112
SENKYO,-16.8505287,69.81185898,7459.358859,7.60E-06,1.94E-07,39.49091195
BELET,-16.8505287,89.83756832,7918.708282,1.63E-05,1.69E-07,95.98573782
SHANGRILA,-16.8505287,169.9404057,5168.844788,3.31E-05,4.40E-07,75.21818009
SHANGRILA,-16.8505287,170.4966754,3316.982292,6.60E-06,1.19E-06,5.583271487
SHANGRILA,-16.8505287,171.0529451,4626.140017,1.75E-05,5.64E-07,31.120338
SHANGRILA,-16.8505287,171.6092148,5349.180777,1.71E-05,4.07E-07,42.02535896
SHANGRILA,-16.8505287,172.1654845,4386.057581,1.49E-05,6.35E-07,23.40238183
SHANGRILA,-16.8505287,172.7217542,4848.435431,3.28E-05,5.07E-07,64.60692213
SHANGRILA,-16.8505287,173.2780239,5520.978955,2.21E-05,3.79E-07,58.19269889
SHANGRILA,-16.8505287,186.6284968,6017.019217,1.58E-05,3.13E-07,50.49697716
SHANGRILA,-16.8505287,187.1847665,4119.493179,3.30E-06,7.31E-07,4.510016845
SHANGRILA,-16.8505287,188.2973059,4417.001128,3.50E-06,6.25E-07,5.652254564
FENSAL,-16.8505287,313.4579893,9064.506252,2.18E-05,1.25E-07,173.8378536
FENSAL,-16.8505287,314.014259,27217.80111,6.53E-05,1.07E-08,6110.537016
FENSAL,-16.8505287,314.5705287,5519.414181,3.09E-05,3.80E-07,81.39504669
FENSAL,-16.8505287,315.1267984,4652.975355,2.61E-05,5.56E-07,46.82715149
FENSAL,-16.8505287,319.0206864,17387.59181,4.17E-05,2.91E-08,1432.246752
FENSAL,-16.8505287,319.5769561,10630.90838,5.10E-05,8.76E-08,582.4977432
FENSAL,-16.8505287,320.1332258,5050.16114,3.23E-05,4.63E-07,69.76893107
FENSAL,-16.8505287,320.6894955,7243.974592,2.90E-05,2.07E-07,140.2060297
SENKYO,-16.2942581,19.19131591,9990.481008,2.86E-05,1.01E-07,284.1785467
SENKYO,-16.2942581,67.58678016,7086.757822,2.83E-05,2.17E-07,130.5916707
SENKYO,-16.2942581,68.14304987,6401.116045,1.54E-05,2.73E-07,56.36318112
SENKYO,-16.2942581,68.69931957,6838.638323,2.74E-05,2.35E-07,116.3605086
SENKYO,-16.2942581,69.25558927,7619.904916,2.44E-05,1.85E-07,132.1274498
BELET,-16.2942581,101.5192321,5663.412932,3.62E-05,3.58E-07,101.1118685
BELET,-16.2942581,102.0755018,5301.141111,5.09E-05,4.16E-07,122.4470888
BELET,-16.2942581,110.4195474,8578.397156,2.75E-05,1.42E-07,193.9026769
BELET,-16.2942581,110.9758171,4266.006018,1.02E-05,6.76E-07,15.15085551
BELET,-16.2942581,111.5320868,4815.925374,1.16E-05,5.15E-07,22.43460017
BELET,-16.2942581,112.0883565,5016.916468,1.20E-05,4.70E-07,25.60984901
SHANGRILA,-16.2942581,169.384136,2741.050646,1.10E-05,1.82E-06,6.030424443
SHANGRILA,-16.2942581,169.9404057,2640.447176,8.40E-06,1.98E-06,4.274273084
SHANGRILA,-16.2942581,170.4966754,3384.812888,1.08E-05,1.13E-06,9.551022958
SHANGRILA,-16.2942581,171.0529451,4035.83607,1.61E-05,7.65E-07,21.10090836
SHANGRILA,-16.2942581,171.6092148,4270.616173,1.02E-05,6.74E-07,15.20392703
SHANGRILA,-16.2942581,172.1654845,3898.800778,9.40E-06,8.27E-07,11.32092465
SHANGRILA,-16.2942581,172.7217542,3505.784841,2.24E-05,1.05E-06,21.40196605
SHANGRILA,-16.2942581,186.0722271,3754.303858,1.88E-05,8.99E-07,20.85852088
SHANGRILA,-16.2942581,186.6284968,4491.020676,7.90E-06,6.02E-07,13.0823232
SHANGRILA,-16.2942581,187.1847665,4467.638765,3.60E-06,6.09E-07,5.864744253
SHANGRILA,-16.2942581,187.7410362,5556.257386,4.40E-06,3.74E-07,11.88103465
FENSAL,-16.2942581,314.014259,9886.961326,2.37E-05,1.03E-07,230.2812593
FENSAL,-16.2942581,314.5705287,5929.58787,2.37E-05,3.23E-07,73.32604617
FENSAL,-16.2942581,315.1267984,4007.745424,3.53E-05,7.77E-07,45.38405029
FENSAL,-16.2942581,318.4644167,10602.34718,5.65E-05,8.81E-08,641.1637889
FENSAL,-16.2942581,319.0206864,23165.69823,4.65E-05,1.53E-08,3032.979724
FENSAL,-16.2942581,319.5769561,6524.676417,5.20E-06,2.61E-07,19.98739012
FENSAL,-16.2942581,320.1332258,8745.023506,4.20E-05,1.36E-07,309.5450247
FENSAL,-16.2942581,320.6894955,17075.91661,4.10E-05,3.03E-08,1350.784058
SENKYO,-15.7379894,66.47424075,7964.247595,1.37E-05,1.67E-07,81.74823977
SENKYO,-15.7379894,67.03051046,6888.128411,4.41E-05,2.31E-07,190.5742195
SENKYO,-15.7379894,67.58678016,4431.912077,7.10E-06,6.20E-07,11.42852522
SENKYO,-15.7379894,68.14304987,4263.850645,1.02E-05,6.77E-07,15.1260864
BELET,-15.7379894,95.95653507,6002.102245,4.80E-06,3.15E-07,15.25382038
BELET,-15.7379894,99.850423,8364.183245,3.62E-05,1.50E-07,241.462956
BELET,-15.7379894,100.4066927,6576.801684,2.40E-05,2.57E-07,93.65504322
BELET,-15.7379894,100.9629624,3141.061598,2.51E-05,1.34E-06,18.74590535
BELET,-15.7379894,110.4195474,4817.448426,1.54E-05,5.15E-07,29.9434389
BELET,-15.7379894,110.9758171,4629.847519,1.11E-05,5.63E-07,19.74762245
BELET,-15.7379894,111.5320868,6980.599159,5.60E-06,2.25E-07,24.87276255
BELET,-15.7379894,112.0883565,5224.039535,4.20E-06,4.29E-07,9.7312207
SHANGRILA,-15.7379894,168.8278663,8202.670972,3.28E-05,1.56E-07,209.6629331
SHANGRILA,-15.7379894,169.384136,12382.44864,4.95E-05,6.23E-08,795.3395086
SHANGRILA,-15.7379894,171.6092148,4183.319214,2.01E-05,7.06E-07,28.44113269
SHANGRILA,-15.7379894,186.0722271,7636.343941,6.95E-05,1.84E-07,378.6436988
SHANGRILA,-15.7379894,186.6284968,3275.884178,5.80E-06,1.22E-06,4.790764907
SHANGRILA,-15.7379894,187.1847665,1491.391711,4.00E-06,7.10E-06,0.556822418
FENSAL,-15.7379894,314.014259,4943.065272,3.16E-05,4.86E-07,65.09153867
FENSAL,-15.7379894,314.5705287,7040.323297,4.51E-05,2.20E-07,204.5466874
FENSAL,-15.7379894,315.1267984,3873.187564,2.48E-05,8.39E-07,29.55175269
BELET,-15.1817188,95.95653507,5998.025383,9.60E-06,3.15E-07,30.44060458
BELET,-15.1817188,110.4195474,1752.916481,4.45E-05,4.94E-06,8.997180159
BELET,-15.1817188,110.9758171,11016.26842,3.66E-05,8.09E-08,452.1741614
BELET,-15.1817188,111.5320868,6175.795857,1.98E-05,2.95E-07,66.91904922
BELET,-15.1817188,112.6446262,4447.603954,1.07E-05,6.16E-07,17.34007273
SHANGRILA,-15.1817188,167.1590572,4881.487924,2.76E-05,5.00E-07,55.29865532
SHANGRILA,-15.1817188,167.7153269,3997.680054,3.00E-05,7.81E-07,38.33094963
SHANGRILA,-15.1817188,168.2715966,3439.639336,1.65E-05,1.09E-06,15.09152669
SHANGRILA,-15.1817188,168.8278663,6142.547243,3.93E-05,2.99E-07,131.5193519
SHANGRILA,-15.1817188,169.384136,2884.323704,6.60E-06,1.62E-06,4.045174763
SHANGRILA,-15.1817188,187.7410362,1670.430075,6.43E-05,5.51E-06,11.68098004
SHANGRILA,-15.1817188,211.1043638,2953.053158,3.24E-05,1.54E-06,21.0658211
FENSAL,-15.1817188,315.1267984,10759.59328,3.44E-05,8.53E-08,403.7573661
FENSAL,-15.1817188,315.6830682,4333.618999,6.90E-06,6.52E-07,10.6280996
FENSAL,-15.1817188,316.7956076,3335.112519,8.00E-06,1.17E-06,6.828304366
FENSAL,-15.1817188,317.3518773,3473.230085,1.11E-05,1.07E-06,10.38260368
FENSAL,-15.1817188,317.908147,3952.197137,1.58E-05,8.02E-07,19.71770438
FENSAL,-15.1817188,318.4644167,3306.92986,2.66E-05,1.19E-06,22.29276808
FENSAL,-15.1817188,321.8020349,10176.45567,7.33E-05,9.66E-08,758.5037247
SENKYO,-14.6254492,55.34884667,6292.450335,1.51E-05,2.83E-07,53.32388217
SENKYO,-14.6254492,56.46138608,5705.422248,9.10E-06,3.53E-07,25.89006399
BELET,-14.6254492,95.95653507,4923.716062,1.58E-05,4.90E-07,32.13512455
BELET,-14.6254492,110.4195474,2720.189984,1.39E-05,1.85E-06,7.528345928
BELET,-14.6254492,110.9758171,5584.924919,2.38E-05,3.70E-07,64.41863731
BELET,-14.6254492,111.5320868,4011.548898,6.40E-06,7.75E-07,8.277025502
BELET,-14.6254492,112.0883565,7836.608234,3.76E-05,1.73E-07,217.0263584
BELET,-14.6254492,112.6446262,5468.689816,1.75E-05,3.88E-07,45.14176693
BELET,-14.6254492,113.2008959,4337.019402,1.04E-05,6.51E-07,15.98268382
BELET,-14.6254492,113.7571656,5525.439461,4.91E-05,3.79E-07,129.6559681
BELET,-14.6254492,114.3134353,6146.857348,9.80E-06,2.98E-07,32.95459121
BELET,-14.6254492,129.888987,3852.408561,9.20E-06,8.49E-07,10.89058217
SHANGRILA,-14.6254492,165.4902481,9015.483119,1.01E-05,1.27E-07,79.39009129
SHANGRILA,-14.6254492,166.0465178,4379.153093,2.45E-05,6.37E-07,38.47866298
SHANGRILA,-14.6254492,166.6027875,4213.063402,2.02E-05,6.95E-07,29.10104941
SHANGRILA,-14.6254492,167.1590572,3406.859771,2.73E-05,1.12E-06,24.38475074
SHANGRILA,-14.6254492,167.7153269,3471.69405,1.39E-05,1.07E-06,12.95968179
SHANGRILA,-14.6254492,168.2715966,4749.462313,1.90E-05,5.31E-07,35.74602849
SHANGRILA,-14.6254492,187.1847665,3762.313223,1.66E-05,8.95E-07,18.55497712
SHANGRILA,-14.6254492,196.0850818,4884.911724,7.80E-06,4.99E-07,15.66120051
SHANGRILA,-14.6254492,196.6413515,4393.268309,2.31E-05,6.33E-07,36.57849996
SHANGRILA,-14.6254492,210.5480941,1988.365916,1.44E-05,3.73E-06,3.864199333
SHANGRILA,-14.6254492,211.1043638,2571.245483,1.12E-05,2.10E-06,5.345635333
FENSAL,-14.6254492,315.1267984,5274.798044,1.27E-05,4.20E-07,30.12201664
FENSAL,-14.6254492,316.2393379,4674.294467,1.12E-05,5.51E-07,20.36800248
FENSAL,-14.6254492,316.7956076,3054.492067,7.30E-06,1.43E-06,5.137273408
FENSAL,-14.6254492,317.3518773,2683.406612,6.40E-06,1.91E-06,3.37765408
FENSAL,-14.6254492,317.908147,2508.071786,2.00E-06,2.22E-06,0.904658206
FENSAL,-14.6254492,321.8020349,13366.35441,1.07E-05,5.25E-08,203.7456814
SENKYO,-14.0691795,55.34884667,6441.972123,5.20E-06,2.69E-07,19.1787321
SENKYO,-14.0691795,55.90511638,5137.082658,8.20E-06,4.46E-07,18.43300847
SENKYO,-14.0691795,57.57392549,6067.346386,1.46E-05,3.07E-07,47.39158563
SENKYO,-14.0691795,58.13019519,15965.14024,3.83E-05,3.53E-08,1086.461595
SENKYO,-14.0691795,58.6864649,31748.61961,2.54E-05,7.57E-09,3353.170289
SENKYO,-14.0691795,59.2427346,24925.9247,1.99E-05,1.30E-08,1532.074671
SENKYO,-14.0691795,59.79900431,8798.281041,2.82E-05,1.34E-07,210.459909
SENKYO,-14.0691795,60.35527401,4466.940858,7.10E-06,6.10E-07,11.72355785
BELET,-14.0691795,102.0755018,3527.816901,1.41E-05,1.03E-06,13.65030028
BELET,-14.0691795,104.3005806,2614.756581,6.38E-05,2.02E-06,31.59700825
BELET,-14.0691795,104.8568503,1832.154739,2.95E-05,4.48E-06,6.582553249
BELET,-14.0691795,110.4195474,6147.213537,1.29E-05,2.98E-07,43.20059122
BELET,-14.0691795,111.5320868,4116.275992,1.98E-05,7.32E-07,26.99174287
BELET,-14.0691795,112.0883565,7016.786079,3.93E-05,2.22E-07,177.0483898
BELET,-14.0691795,112.6446262,4359.673402,1.40E-05,6.44E-07,21.67272763
BELET,-14.0691795,113.2008959,5349.018807,1.28E-05,4.07E-07,31.51593044
BELET,-14.0691795,113.7571656,14282.11293,7.24E-05,4.53E-08,1599.788078
BELET,-14.0691795,114.3134353,9249.399388,2.63E-05,1.20E-07,219.6852258
BELET,-14.0691795,114.869705,8202.410305,6.60E-06,1.57E-07,41.92827373
BELET,-14.0691795,115.4259747,12266.44272,2.94E-05,6.36E-08,462.8808855
BELET,-14.0691795,130.4452567,6073.484651,2.61E-05,3.07E-07,85.030804
SHANGRILA,-14.0691795,165.4902481,2331.895298,1.25E-05,2.61E-06,4.769970093
SHANGRILA,-14.0691795,166.0465178,3792.637999,1.42E-05,8.79E-07,16.19294135
SHANGRILA,-14.0691795,166.6027875,8226.909491,3.73E-05,1.55E-07,239.7920603
SHANGRILA,-14.0691795,167.1590572,5671.214613,1.81E-05,3.57E-07,50.78175424
SHANGRILA,-14.0691795,167.7153269,13971.99839,2.24E-05,4.75E-08,470.3551327
SHANGRILA,-14.0691795,168.2715966,4525.909413,3.27E-05,5.92E-07,55.22156295
SHANGRILA,-14.0691795,195.5288121,4707.243325,1.51E-05,5.42E-07,27.78199417
