Id,sum_Length_METERS,Polyline_Count,Point_Count,NAME,RHO,LAT,LONG,DELTA_RHO_CLEAN,CENTER,Shape_Length,Shape_Area,sum_Area_SQUAREMETERS,Polygon_Count,LAMBDA_M,RHO_0,DELTA_RHO,LONG_W,FAKE_LONG,DIST_X_KM
0,342107.4424302117,21,22,SHANGRILA,3.2153641329e-05,-27.45307669,-178.09979533,158.65863164963375,1.0,200000.0,2500000000.0,919752592.6067967,1,2688.490452219326,1.898643029e-06,16.93506406085127,178.09979533,226.90020467,10196.012808184973
0,232806.7833990807,13,16,SHANGRILA,3.4363259881e-05,-27.45307669,-176.98725592,401.2026735968771,1.0,200000.0,2500000000.0,624060942.5853658,1,2680.5960439545765,1.911176906e-06,17.980156505465505,176.98725592,228.01274408,10246.006002728222
0,454698.70852472074,24,23,SHANGRILA,2.5291472759e-05,-26.46147638,-179.21233474,66.02972363379982,1.0,200000.0,2500000000.0,1295053134.229911,1,2848.156614369409,1.66871409e-06,15.156264880821317,179.21233474,225.78766526,10146.019613641722
0,300378.9714835809,24,20,SHANGRILA,3.3291278516e-05,-26.46147638,-178.09979533,219.76933537161196,1.0,200000.0,2500000000.0,901309937.4997146,1,3000.5760158513003,1.484988933e-06,22.418536452290287,178.09979533,226.90020467,10196.012808184973
0,684261.9428474704,29,14,SHANGRILA,1.0230000474e-05,-25.4612608,-179.21233474,10.702561934737425,1.0,200000.0,2500000000.0,1906028988.0374243,1,2785.5253502857745,1.753835733e-06,5.832929665148423,179.21233474,225.78766526,10146.019613641722
0,369264.5422976507,21,15,SHANGRILA,2.0310642211e-05,-25.4612608,-178.09979533,84.47495005084167,1.0,200000.0,2500000000.0,1167839385.4792106,1,3162.6090558617934,1.320130167e-06,15.38533299043382,178.09979533,226.90020467,10196.012808184973
0,757474.8700180432,23,17,SHANGRILA,1.1221494384e-05,-20.33952071,-163.63678303,9.351611759147566,1.0,200000.0,2500000000.0,2102484775.3622727,1,2775.6495411025207,1.767828878e-06,6.347613460755815,163.63678303,241.36321697,10845.924335899139
0,360687.644529074,12,14,SENKYO,1.940737396e-05,-19.2929225,17.24437228,85.07613511207194,1.0,200000.0,2500000000.0,1422813900.2614155,1,3944.7259196224745,8.05157641e-07,24.10381887894784,342.75562772,62.24437227999999,2797.020028815444
0,387849.4471971853,14,10,SENKYO,1.2891600171e-05,-19.2929225,18.35691169,48.03913230038423,1.0,200000.0,2500000000.0,1517499420.8004456,1,3912.599158685764,8.20025481e-07,15.720975099203168,341.64308831,63.356911690000004,2847.0132233586946
0,622604.857358292,17,5,SENKYO,4.015387883e-06,-19.2929225,19.4694511,5.189185668678479,1.0,200000.0,2500000000.0,2226381356.734516,1,3575.9138889166984,1.002917145e-06,4.00370848643542,340.5305489,64.46945110000001,2897.006417901945
0,425331.4101651263,26,29,BELET,3.4091063236e-05,-19.2929225,101.79736729,103.3439479416766,1.0,200000.0,2500000000.0,2227023251.286236,1,5235.971757697462,4.27279578e-07,79.78631552010256,258.20263271,146.79736729,6596.502807362028
0,407987.53435941273,26,31,BELET,3.799135683e-05,-19.2929225,102.9099067,126.41091188075758,1.0,200000.0,2500000000.0,2227023251.286236,1,5458.557097296904,3.89275327e-07,97.59508032530445,257.09009330000004,147.90990669999996,6646.496001905276
0,374092.7629509599,22,27,BELET,3.6087305976e-05,-19.2929225,104.02244611,145.79258901341194,1.0,200000.0,2500000000.0,1950057018.7488773,1,5212.763281936336,4.3154782e-07,83.62295982531731,255.97755389,149.02244611,6696.489196448528
0,333154.5886809402,26,30,SHANGRILA,4.5024143475e-05,-19.2929225,156.31179829,235.74781081245976,1.0,200000.0,2500000000.0,2013760693.3836808,1,6044.523358831011,3.09863894e-07,145.30296785224104,203.68820171,201.31179829,9046.169335937027
0,171179.89710213445,14,15,SHANGRILA,4.3813555955e-05,-19.2929225,157.42433769,1017.841454129498,1.0,200000.0,2500000000.0,1050128998.068032,1,6134.651415530836,2.99770371e-07,146.1570595860148,202.57566231,202.42433769,9096.162530030915
0,686982.6243456859,24,17,SHANGRILA,1.2372947581e-05,-19.2929225,-164.74932243,12.830076214362252,1.0,200000.0,2500000000.0,2122079610.7093904,1,3088.985857146762,1.391571302e-06,8.891350063205097,164.74932243,240.25067757,10795.93114180525
0,69223.3942141035,3,2,FENSAL,1.4445983346e-05,-19.2929225,-45.70760578,2544.5058465216894,1.0,200000.0,2500000000.0,726189007.4589272,1,10490.51430810907,9.0247626e-08,160.0705074069149,45.70760578,359.29239422,16145.202948047056
0,155316.1872205028,10,10,SENKYO,3.2192394685e-05,-18.23958968,17.24437228,929.6683713602125,1.0,200000.0,2500000000.0,672371358.5782924,1,4329.048830072842,6.5394376e-07,49.22807836116169,342.75562772,62.24437227999999,2797.020028815444
0,49984.08683350494,3,6,SENKYO,6.0019101879e-05,-18.23958968,18.35691169,21906.63181379495,1.0,200000.0,2500000000.0,509949964.2063364,1,10202.246285001864,9.6053175e-08,624.8528684009527,341.64308831,63.356911690000004,2847.0132233586946
0,363701.7370686142,18,21,SENKYO,2.8869809874e-05,-18.23958968,19.4694511,124.22194688355695,1.0,200000.0,2500000000.0,2169165756.7449803,1,5964.1336173650325,3.19287088e-07,90.41959711022851,340.5305489,64.46945110000001,2897.006417901945
0,156734.2700272178,5,1,BELET,3.190112794e-06,-18.23958968,91.78451262,90.27112414354552,1.0,200000.0,2500000000.0,85418611.43597184,1,544.9900102966532,6.749929276e-05,0.047261425462089,268.21548738,136.78451262,6146.564057371499
